,dataset_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
23,cmc,2.2445583,-2.123242,1.0113004,2.4173305,1.1846553,1.0754569,-0.19303358,0.43320435,-2.3388886,1.0544151,0.793843,-2.095245,-0.73211324,1.1542791,-1.3228909,1.2927895,-0.3985893,1.8454622,0.48457026,0.3783749,2.0434353,3.0402577,-0.70922214,0.33229834,-0.6916408,2.4161696,-1.6500089,1.1244658,2.7316742,2.354921,2.2198682,-2.1588538
28,optdigits,1.7775052,-1.6994674,0.90104836,2.0439901,0.73538035,0.9809607,-0.12609632,0.14141637,-1.8528486,0.8364372,0.3755744,-1.9904693,-0.68819076,0.74471617,-1.1068047,1.1530516,-0.4569823,1.6563699,0.27196285,0.27634928,1.5535558,2.538067,-0.6186197,0.019636316,-0.4973294,2.1671548,-1.6919823,1.1752102,2.3438685,1.8566431,1.9270014,-1.7952766
29,credit-approval,3.0986862,-2.4751992,0.536806,3.2536385,1.5505207,1.9391453,-1.1059215,-0.45837808,-3.6825511,2.199681,0.17478582,-3.0036502,-0.77245164,1.2678393,-2.053811,1.480036,-1.2420535,3.0903401,0.59419394,1.6249653,3.4089305,4.3146048,-1.2637026,-0.23280418,-1.6539571,4.02472,-2.3629737,2.7487817,4.023766,2.5816836,3.5776296,-2.5980306
31,credit-g,3.534387,-2.738953,0.49392518,3.6831145,1.8274429,2.214388,-1.3567692,-0.5491394,-4.2214365,2.6291287,0.19715965,-3.2762113,-0.86277735,1.3991854,-2.2669728,1.5999607,-1.4051144,3.4937637,0.64595944,1.9766197,3.9806476,4.8451324,-1.5241631,-0.2758854,-2.0155692,4.5575175,-2.5194879,3.0644984,4.4853435,2.7940776,4.0492687,-2.8307896
32,pendigits,2.2078204,-2.4548461,1.7369728,2.282851,1.4655408,0.39820796,0.5795766,1.6866935,-1.8069322,0.28607035,1.9452518,-1.5487233,-0.8208367,1.562056,-0.9387414,1.3605416,0.40242386,1.0220054,0.6903705,-0.6439799,1.4339365,2.6924875,-0.3173322,1.1266456,-0.051920496,1.3384424,-1.0829582,-0.40600824,2.1245255,2.9498348,1.4224513,-2.3146052
37,diabetes,3.506263,-2.8224175,0.70360297,3.650404,1.8892939,2.045652,-1.1231636,-0.2002795,-4.0501704,2.428252,0.50955504,-3.1192336,-0.910498,1.4905136,-2.142375,1.6381563,-1.1581932,3.2710824,0.6622293,1.6704963,3.8224628,4.70758,-1.4468797,-0.021775361,-1.8576376,4.270803,-2.3657155,2.6149232,4.305993,2.9199553,3.8227959,-2.8660855
44,spambase,2.4867644,-1.7435112,0.13736847,2.812994,0.8008478,2.1063545,-1.3313873,-1.4411302,-3.2543416,2.2596335,-0.96088564,-3.2649574,-0.6414833,0.47936773,-1.9290111,1.228327,-1.7690475,3.2399971,0.24204402,2.0107298,2.9695952,3.8533187,-1.2148235,-1.2441971,-1.6975601,4.1397686,-2.7993178,3.5882442,3.7562413,1.7027128,3.5742335,-2.0116262
46,splice,2.5815592,-2.582575,1.4657066,2.735401,1.5998185,0.9016732,0.1170061,1.176943,-2.4376707,0.91944486,1.5715768,-2.0030553,-0.8964537,1.5621307,-1.2919267,1.4874172,0.011323726,1.6682955,0.63985217,-0.0019832384,2.1615024,3.2609572,-0.68557835,0.87223786,-0.5831446,2.2115617,-1.4449017,0.40777445,2.776869,2.9489079,2.1451182,-2.509465
50,tic-tac-toe,3.7717392,-3.0758224,0.8808173,3.962782,2.083292,2.1512456,-1.1040671,-0.043118514,-4.263154,2.5232735,0.70830905,-3.3091137,-1.0347446,1.6262897,-2.2569935,1.8156942,-1.1286919,3.4508038,0.7066448,1.6493251,4.081702,4.9883013,-1.5391114,0.12588492,-1.9531801,4.513273,-2.5194814,2.6162207,4.581961,3.2164772,4.02822,-3.1409924
54,vehicle,2.1753564,-2.3466597,1.5289042,2.3015845,1.3757555,0.56259567,0.38645878,1.3687357,-1.901058,0.4705403,1.656901,-1.631033,-0.8073081,1.4687724,-1.0278013,1.3443669,0.24090561,1.1879839,0.6094446,-0.39483085,1.5741985,2.7212293,-0.43252522,0.9727998,-0.19763625,1.5885847,-1.1691711,-0.063077144,2.2457614,2.7589726,1.6097305,-2.2549653
151,electricity,3.2557895,-2.4891934,0.35568887,3.4057884,1.593571,2.1470299,-1.3653219,-0.749773,-3.9832664,2.5001013,-0.054767042,-3.191173,-0.7612937,1.2365438,-2.2043293,1.4775873,-1.4783382,3.3787186,0.5919227,1.9797537,3.712981,4.569839,-1.4119376,-0.4474089,-1.8977318,4.3970966,-2.5011253,3.1756911,4.285083,2.5349796,3.8899693,-2.6184587
182,satimage,2.1850984,-2.4049933,1.6512254,2.276062,1.4331253,0.44585592,0.5119805,1.5798032,-1.8292831,0.35716316,1.8485806,-1.5440162,-0.81442374,1.5281017,-0.9525601,1.3445028,0.36193937,1.0603213,0.64987576,-0.55461645,1.4795258,2.672426,-0.36727178,1.079167,-0.10578661,1.4026954,-1.0724366,-0.31664392,2.1372306,2.8551886,1.4731907,-2.2659929
188,eucalyptus,2.0566819,-2.1921735,1.3866138,2.197865,1.2216916,0.6293106,0.29588956,1.1199111,-1.8589294,0.51085466,1.385568,-1.6755226,-0.76694405,1.3053719,-1.0299307,1.2828089,0.10093478,1.253288,0.54311526,-0.2853756,1.524904,2.6506164,-0.45346117,0.79030424,-0.2318019,1.6681038,-1.2599795,0.1744676,2.2356117,2.549255,1.6253722,-2.1373448
38,sick,2.4210567,-1.6879027,0.12388042,2.754613,0.7319924,2.0889246,-1.3128064,-1.4695685,-3.175717,2.2042258,-1.0053884,-3.221852,-0.64436996,0.43214282,-1.8893801,1.2219794,-1.7501333,3.1981478,0.21271186,1.9529092,2.8842225,3.7821877,-1.2068332,-1.236423,-1.6501782,4.0978346,-2.8024783,3.5656593,3.7009926,1.6333097,3.5156407,-1.986517
307,vowel,2.1734915,-2.4215274,1.7112963,2.2431471,1.4376826,0.38951343,0.5739869,1.6594957,-1.782614,0.27669895,1.9116786,-1.5313067,-0.80469096,1.5409783,-0.9276532,1.3378279,0.39208353,1.0051819,0.6840209,-0.63637173,1.4033171,2.660775,-0.30655393,1.1032372,-0.043239456,1.315881,-1.0712385,-0.39412433,2.0949428,2.9100866,1.4003254,-2.2804198
300,isolet,1.8903401,-2.0244002,1.314664,2.0015502,1.0699109,0.58001375,0.30369136,1.0024331,-1.7135226,0.44165844,1.2177155,-1.6263046,-0.69956964,1.14055,-0.9385311,1.1731246,0.03592674,1.1846557,0.5053012,-0.29727763,1.3374552,2.4899783,-0.3948658,0.63324034,-0.17896497,1.542558,-1.2608569,0.21565132,2.0733347,2.3538487,1.4799578,-1.9620053
458,analcatdata_authorship,2.1469052,-2.2941318,1.4606164,2.2639356,1.3306357,0.5815976,0.33846912,1.2788069,-1.9086863,0.5085274,1.5629246,-1.628328,-0.7874751,1.4233274,-1.0235791,1.305843,0.19217011,1.2007133,0.5913679,-0.32717133,1.5695393,2.7168362,-0.44782585,0.8982333,-0.2275074,1.610479,-1.1698178,0.012428807,2.2307067,2.678615,1.6203985,-2.198457
469,analcatdata_dmft,2.4489605,-2.6879315,1.9240773,2.5703375,1.6489861,0.47590676,0.61327994,1.8528534,-1.9800409,0.34635556,2.1545236,-1.7141231,-0.93453157,1.6977174,-1.037278,1.5300748,0.44692826,1.1680909,0.7404789,-0.6914128,1.6490142,2.9346929,-0.38244706,1.2689986,-0.11230171,1.5297356,-1.2200257,-0.4354857,2.3633497,3.243877,1.5970058,-2.576095
554,mnist_784,1.7043365,-1.4518759,0.6138959,2.1062744,0.4355282,1.2805603,-0.4559071,-0.5351063,-1.957474,1.1298721,-0.2807119,-2.2859006,-0.7051667,0.43979,-1.214547,1.1409608,-0.8164533,1.9806345,0.09567346,0.7069752,1.6696041,2.6666942,-0.7940136,-0.48847395,-0.71514463,2.641427,-2.0596802,1.8831513,2.5355558,1.494055,2.283699,-1.6990843
1049,pc4,2.4075265,-1.8036362,0.27675575,2.664327,0.89021367,1.8587255,-1.0984792,-1.0300786,-3.0555127,2.0018578,-0.5755764,-2.938343,-0.62653846,0.6214128,-1.7811276,1.2041004,-1.4704535,2.9142435,0.2962417,1.6614931,2.771962,3.60591,-1.1189659,-0.87016517,-1.4809372,3.725769,-2.464224,3.031643,3.4886231,1.7829952,3.224697,-1.9747432
1050,pc3,2.3764515,-1.7324536,0.21389076,2.6669445,0.8124876,1.9226658,-1.1661761,-1.1906703,-3.0565586,2.05835,-0.7386309,-3.0072062,-0.6285621,0.53771824,-1.7979702,1.2003069,-1.5564451,2.987371,0.24834304,1.7547852,2.7805731,3.6068408,-1.145309,-1.0056345,-1.5257027,3.8211892,-2.5542002,3.1972513,3.5191295,1.6902809,3.2989776,-1.9418637
1053,jm1,2.3592467,-1.7158104,0.21404393,2.6523657,0.7965206,1.9124205,-1.1595366,-1.1951009,-3.038567,2.05962,-0.7497511,-3.0018182,-0.6256083,0.5218735,-1.7786417,1.1854535,-1.5538807,2.968803,0.2383606,1.7609392,2.7588246,3.5928807,-1.1403801,-1.0343099,-1.5250344,3.7958755,-2.5432947,3.1815534,3.4866338,1.6684988,3.2857964,-1.9140869
1063,kc2,2.4155095,-1.7547739,0.19815844,2.698484,0.8455082,1.9492521,-1.1974977,-1.2068484,-3.1180782,2.1113563,-0.7425933,-3.0386386,-0.62201685,0.553877,-1.826552,1.1987132,-1.5865077,3.0310037,0.26018667,1.8118765,2.8446229,3.655941,-1.1624911,-1.0275493,-1.5698137,3.8688874,-2.560639,3.244854,3.5635135,1.7090725,3.3486583,-1.9484568
1067,kc1,2.3170302,-1.7706589,0.33268267,2.5715766,0.8578722,1.7498573,-0.99064386,-0.90695155,-2.9044247,1.877017,-0.48534918,-2.812282,-0.6278914,0.61664873,-1.6859766,1.1794006,-1.3571308,2.7562485,0.28008974,1.518678,2.6209464,3.4561837,-1.0652541,-0.79122055,-1.3771079,3.5291886,-2.3519015,2.8126297,3.323761,1.7545528,3.060168,-1.9151217
1068,pc1,2.25567,-1.6799717,0.27859628,2.5521462,0.7535971,1.7943707,-1.0377413,-1.060019,-2.862273,1.9046389,-0.64979917,-2.8594499,-0.6342103,0.5182611,-1.6783355,1.1718284,-1.4219841,2.7951317,0.21900633,1.5818952,2.5846465,3.4220328,-1.0826697,-0.9238038,-1.395251,3.5872529,-2.430898,2.941884,3.314734,1.6401495,3.1017737,-1.8664978
1590,adult,3.2301383,-2.3548288,0.13791642,3.3765678,1.4926195,2.2862434,-1.5956229,-1.1307007,-4.113469,2.6917095,-0.4137438,-3.3561416,-0.67417085,1.0936534,-2.3018553,1.3932602,-1.7620165,3.5829601,0.57105213,2.3113854,3.8169873,4.6448708,-1.4545727,-0.7995083,-2.0434582,4.626538,-2.6475894,3.6462064,4.395508,2.3558052,4.0761037,-2.4975946
4134,Bioresponse,2.3723392,-1.7097782,0.22183475,2.7351978,0.73812413,2.0073006,-1.1985693,-1.31775,-3.0519726,2.073706,-0.876618,-3.159289,-0.67279583,0.46893087,-1.8526983,1.253617,-1.6392324,3.0883448,0.21201065,1.8027093,2.7856352,3.6767242,-1.150368,-1.1144578,-1.5457361,3.970879,-2.7490172,3.3852718,3.6240501,1.6944662,3.4098988,-2.0120525
1510,wdbc,3.3839488,-2.7293084,0.6720412,3.5137634,1.8092015,1.9738562,-1.0867383,-0.21138565,-3.9222012,2.3400633,0.4722465,-3.0273557,-0.8677022,1.4474368,-2.0806298,1.5762637,-1.1334512,3.160018,0.6492056,1.6200306,3.6749854,4.5696087,-1.3833921,-0.04373846,-1.7799238,4.1249857,-2.2970128,2.5523562,4.1678143,2.8271475,3.700233,-2.7695184
1489,phoneme,3.511649,-2.8078823,0.66855776,3.655276,1.8765743,2.0719051,-1.1627886,-0.25904804,-4.078082,2.460538,0.45662004,-3.1426005,-0.90345794,1.4760271,-2.1612945,1.6308286,-1.1979579,3.3044033,0.66016155,1.7212486,3.8451495,4.733939,-1.4592874,-0.06507766,-1.8828684,4.3167677,-2.3904366,2.6876035,4.3329825,2.8991191,3.859408,-2.860786
1494,qsar-biodeg,2.6599822,-1.9647782,0.21971455,2.893617,1.0651008,2.0350103,-1.2735043,-1.1217993,-3.4004269,2.2320561,-0.58448166,-3.1357145,-0.63314897,0.7431941,-1.982,1.2744889,-1.6176351,3.1882288,0.38081712,1.8922151,3.1216593,3.9423034,-1.218757,-0.88867635,-1.6741915,4.0707674,-2.5991395,3.3305244,3.8315787,1.9606631,3.5328522,-2.1545677
1497,wall-robot-navigation,1.8300667,-1.8523852,1.0873728,2.0248334,0.8988449,0.7976307,0.07029109,0.54375887,-1.7933508,0.66102004,0.76901144,-1.8214451,-0.6912581,0.931188,-1.0358126,1.1598151,-0.23239608,1.4422057,0.38023505,0.021227779,1.4672043,2.5093584,-0.51762605,0.30843452,-0.35863405,1.882625,-1.4833124,0.73582613,2.222695,2.0871265,1.7218416,-1.8665129
1501,semeion,1.8861377,-1.9901435,1.2680874,2.0132565,1.0208913,0.64206576,0.24406664,0.87975866,-1.7461567,0.486803,1.0958132,-1.7065048,-0.6972316,1.0815504,-0.97368765,1.1701723,-0.051023997,1.2619318,0.49075213,-0.22250943,1.3616,2.541625,-0.4159948,0.53860295,-0.21765098,1.6461529,-1.3608629,0.373421,2.1359613,2.3117828,1.5459436,-1.9637041
1480,ilpd,2.7359307,-1.9994643,0.17954065,2.9492354,1.1141521,2.0947638,-1.3463454,-1.1783187,-3.5230873,2.3293633,-0.6129538,-3.1964278,-0.6189462,0.7645962,-2.037035,1.2757379,-1.6840744,3.28309,0.40521425,1.9931028,3.2385077,4.046646,-1.2579511,-0.92931426,-1.7533102,4.178314,-2.6332278,3.4438698,3.927444,1.9853092,3.6304333,-2.1785862
1485,madelon,3.640824,-2.8849006,0.64223754,3.7883046,1.9591818,2.1717803,-1.2524029,-0.31058043,-4.2530355,2.601944,0.44258967,-3.2477984,-0.9239424,1.5115426,-2.245278,1.6697878,-1.2691817,3.4518478,0.6756314,1.8480492,4.0358133,4.8967414,-1.539921,-0.09025999,-2.0008557,4.50519,-2.456703,2.8271701,4.497149,2.95958,4.0227404,-2.9331515
1486,nomao,2.9787517,-2.1182961,0.089001834,3.1660247,1.2556441,2.2751057,-1.5576619,-1.3352499,-3.8714283,2.6024566,-0.6886339,-3.3930194,-0.6173409,0.84403515,-2.210547,1.3172361,-1.8605795,3.5605965,0.46700138,2.2849925,3.5798755,4.3796396,-1.3724902,-1.0433524,-1.976895,4.5243173,-2.7616544,3.7752433,4.231046,2.097587,3.9541345,-2.3008764
1487,ozone-level-8hr,3.6767926,-2.7334652,0.29766926,3.8140297,1.8417648,2.4110506,-1.635308,-0.8752988,-4.517646,2.9129272,-0.066920504,-3.4760013,-0.8327867,1.3614775,-2.4231246,1.57782,-1.666918,3.7687504,0.6628582,2.3531976,4.2482023,5.127531,-1.6441269,-0.53743804,-2.239974,4.922772,-2.6788173,3.5315506,4.7374425,2.746935,4.361524,-2.8490717
1468,cnae-9,1.8289449,-1.3997785,0.5300507,2.3858047,0.27630308,1.6135324,-0.7223884,-1.0624487,-2.1725686,1.3820295,-0.7479359,-2.7636209,-0.79636794,0.2841708,-1.4518325,1.2555825,-1.1663172,2.3910584,0.0445762,1.0530252,1.8785822,3.0699108,-0.91971457,-0.9050172,-0.8998644,3.224154,-2.6197066,2.6066403,2.9597673,1.4951532,2.7563195,-1.8851038
1475,first-order-theorem-proving,1.6668966,-1.5788946,0.81616986,1.9398321,0.632506,0.9541133,-0.14825594,0.04903138,-1.7694328,0.853749,0.2668199,-1.8988689,-0.6648077,0.6575645,-1.0280561,1.0820794,-0.45377642,1.5835185,0.2004995,0.31607395,1.470824,2.406947,-0.64425766,-0.06650479,-0.49438763,2.0867202,-1.6001997,1.1504514,2.2003014,1.6655315,1.861571,-1.6368107
1462,banknote-authentication,3.672542,-2.9157655,0.6666645,3.8274968,1.9818112,2.185035,-1.2479051,-0.2903853,-4.276332,2.611899,0.46724668,-3.271675,-0.9411286,1.5261302,-2.2582877,1.6938438,-1.2643694,3.4746037,0.6790583,1.8416046,4.06656,4.927752,-1.5522145,-0.070576526,-2.0114422,4.5353656,-2.477671,2.8258185,4.530773,2.995275,4.0467806,-2.967445
1464,blood-transfusion-service-center,3.3552067,-2.6451936,0.54166645,3.479803,1.7422348,2.035583,-1.204309,-0.40767574,-3.9676049,2.4230065,0.2858697,-3.0652523,-0.82909536,1.3794941,-2.1166267,1.5286303,-1.2537845,3.232491,0.6299798,1.7721555,3.705026,4.590089,-1.4101429,-0.19320504,-1.8413298,4.222431,-2.3414083,2.7633975,4.2016716,2.7126262,3.7747326,-2.7041156
4534,PhishingWebsites,3.633456,-2.6805294,0.24201055,3.7676334,1.8275274,2.430757,-1.6653684,-0.94418496,-4.5203724,2.9619792,-0.1401018,-3.496612,-0.7904599,1.2991695,-2.4200633,1.5346413,-1.730066,3.809726,0.63960093,2.423291,4.2698917,5.060037,-1.652461,-0.6271233,-2.2787905,4.9278245,-2.6695285,3.6068387,4.720157,2.6584194,4.3637567,-2.7548604
6332,cylinder-bands,3.216271,-2.4455152,0.33387944,3.3747857,1.5514635,2.1563976,-1.3781917,-0.80976284,-3.9580276,2.4993672,-0.12300006,-3.2164598,-0.74516666,1.1888084,-2.2043035,1.4610442,-1.5196701,3.3945851,0.5775726,2.0035007,3.6871345,4.537215,-1.4005357,-0.5134224,-1.8963306,4.403679,-2.5344381,3.2389476,4.2746572,2.4886155,3.8886917,-2.5819843
1461,bank-marketing,2.8142707,-2.0697258,0.20157644,3.0207648,1.1699084,2.0978427,-1.3580326,-1.1257913,-3.5886083,2.3451693,-0.54023516,-3.190961,-0.64663,0.84253705,-2.0658617,1.3063885,-1.6514127,3.2826123,0.4375628,1.9955375,3.292455,4.1473527,-1.2765982,-0.86196935,-1.7635214,4.2147474,-2.6185412,3.4104958,3.979896,2.074148,3.6745079,-2.2571876
4538,GesturePhaseSegmentationProcessed,1.6387161,-1.58093,0.8542245,1.9010919,0.6357008,0.8844863,-0.08963307,0.13930552,-1.7139881,0.80470276,0.34510547,-1.8276083,-0.6612494,0.6769137,-0.9744474,1.0559448,-0.38485026,1.4840798,0.20551428,0.25599405,1.4026325,2.3601665,-0.6182002,-0.02984121,-0.44626722,1.9649299,-1.511849,1.0036093,2.1036913,1.6708361,1.7759966,-1.59747
1478,har,1.8702176,-1.9642696,1.2199054,2.017796,1.0138582,0.67366934,0.20969066,0.8262119,-1.7548668,0.5381309,1.0495688,-1.7010247,-0.6972427,1.0675942,-0.9849542,1.1737887,-0.065216206,1.2943416,0.45285836,-0.16866454,1.4092063,2.4933536,-0.45361152,0.5247711,-0.25726408,1.6870655,-1.3390968,0.4197823,2.1441255,2.2490773,1.5839672,-1.9274582
23381,dresses-sales,3.695043,-2.9382787,0.68588114,3.857233,1.9938301,2.198517,-1.2459097,-0.28267238,-4.293416,2.615457,0.47761512,-3.3002503,-0.95330316,1.5348675,-2.2741866,1.7145834,-1.268115,3.4978359,0.6839002,1.8371563,4.087028,4.956083,-1.5568606,-0.0607617,-2.0168908,4.565887,-2.5083108,2.8402886,4.56412,3.026233,4.069156,-2.9998367
40499,texture,2.038528,-2.2664058,1.5673839,2.1014123,1.3115486,0.3980232,0.50977343,1.4853097,-1.7116163,0.29812092,1.7192768,-1.4718823,-0.74975187,1.4231162,-0.88775235,1.2479476,0.32388884,0.98149407,0.62441707,-0.55527693,1.3275478,2.5333562,-0.31615722,0.9810406,-0.055767912,1.2878622,-1.0339919,-0.29271436,1.9981725,2.6920497,1.3528687,-2.1203043
40668,connect-4,1.7065439,-1.5186489,0.70639575,2.078553,0.5267044,1.1725765,-0.33837932,-0.3078308,-1.8851506,1.0151595,-0.07200764,-2.1743088,-0.7090887,0.53217757,-1.1784089,1.1523182,-0.692405,1.8655373,0.13548961,0.5609702,1.6177092,2.565356,-0.7269532,-0.31990847,-0.6350648,2.4764357,-1.9241428,1.6494395,2.4569635,1.6005939,2.156755,-1.7169943
40966,MiceProtein,2.0097778,-2.2163825,1.4984082,2.0846014,1.2706727,0.43952355,0.45688877,1.3846927,-1.7212986,0.34605038,1.6214752,-1.4825372,-0.74034584,1.3767017,-0.89867514,1.2314221,0.2757252,1.019825,0.59196496,-0.4882241,1.3497134,2.5155091,-0.3491979,0.9259844,-0.093406186,1.3431976,-1.049734,-0.19962642,2.0107865,2.6086674,1.387141,-2.0785537
40982,steel-plates-fault,1.8738296,-1.9426591,1.187041,2.0366962,0.983644,0.72353417,0.16204342,0.7347082,-1.7828624,0.5765773,0.9611746,-1.7640741,-0.6989917,1.0292847,-1.0163409,1.1796173,-0.1295268,1.359791,0.4406839,-0.10852109,1.4381363,2.529761,-0.4713255,0.4565881,-0.29110798,1.7732294,-1.4153633,0.54299414,2.198058,2.2231455,1.6439053,-1.9350784
40994,climate-model-simulation-crashes,3.828637,-2.907549,0.45257196,3.9927833,1.9696182,2.4339745,-1.5622988,-0.6906363,-4.5967097,2.9078264,0.13594387,-3.5323799,-0.9274128,1.478217,-2.4605079,1.701239,-1.569418,3.8085036,0.6936821,2.244277,4.3559427,5.269398,-1.6823002,-0.35262284,-2.2484062,4.995552,-2.7298434,3.4045167,4.862709,2.9602933,4.424882,-3.0435839
40983,wilt,2.8704934,-2.0728679,0.13839604,3.060574,1.1930937,2.1555896,-1.4442235,-1.2148628,-3.6939216,2.4525323,-0.60583645,-3.2362874,-0.6320758,0.84084976,-2.10406,1.2910439,-1.7238207,3.3643448,0.44404393,2.1196916,3.3908486,4.2332563,-1.3201178,-0.9411255,-1.849349,4.3125887,-2.6394832,3.530581,4.0462813,2.0568378,3.7695312,-2.2486005
40975,car,2.4880164,-2.5434465,1.5300589,2.6341646,1.5386102,0.7847619,0.21317331,1.2661102,-2.279308,0.75128245,1.6297715,-1.9161437,-0.88351166,1.5625689,-1.2247193,1.464428,0.08964957,1.5127518,0.65998745,-0.1459799,1.9648688,3.1558878,-0.5826563,0.91079396,-0.43983406,2.024488,-1.3991348,0.25681168,2.6351547,2.9634676,1.9905285,-2.4889724
40984,segment,1.702557,-1.6345383,0.86438656,1.9598892,0.6900508,0.93339586,-0.11093875,0.13899249,-1.780752,0.81849325,0.3602441,-1.8911003,-0.66884553,0.7116867,-1.0399239,1.1040351,-0.41845226,1.5727528,0.23684931,0.2598308,1.4828753,2.4252753,-0.6210852,0.013605771,-0.4728529,2.0634696,-1.5883678,1.0889066,2.222404,1.7507061,1.8432671,-1.6909459
40979,mfeat-pixel,2.078716,-2.2449386,1.4942858,2.2001371,1.2496951,0.58166873,0.37514302,1.229038,-1.8304898,0.41718212,1.480498,-1.7109802,-0.767305,1.327777,-1.0215676,1.3000143,0.124638066,1.2249643,0.6001372,-0.3940593,1.4612933,2.6878004,-0.38109678,0.82561433,-0.16445936,1.604449,-1.3151457,0.10316323,2.2359009,2.6688964,1.5659243,-2.2043512
40996,Fashion-MNIST,1.81429,-1.7844757,0.9992026,2.0372682,0.8248628,0.8924297,-0.028342685,0.34531802,-1.8360962,0.7496633,0.57615227,-1.9189888,-0.6852853,0.8400834,-1.0764633,1.1552552,-0.35346013,1.5586493,0.3374123,0.1487005,1.515497,2.5443974,-0.563182,0.1608668,-0.4306596,2.0305667,-1.6016264,0.9645068,2.2957904,1.9868362,1.8275187,-1.8410037
